sector,Overheat,Recovery,Reflation,Stagflation,Unknown
XLB,0.005236600347946531,0.014482387477954274,0.020873394871899015,-0.007787249755937026,0.002950653292376859
XLE,0.009089619967048743,0.015299255118018306,0.01152564716568287,-0.005675339356896035,0.011897653797019887
XLF,0.0038918147061922062,0.017210491329989558,0.015497617710818718,-0.01245144132938505,0.005397158226700243
XLI,0.007647141630452264,0.012125519119396974,0.019238519955492694,-0.009507910232151707,0.00722003106473989
XLK,0.0096091987314503,0.008753189488331986,0.02617398839008026,-0.0007650503551033844,-0.0049623963295788
XLP,0.0028735809774384086,0.008840717041586498,0.011512062540985902,-0.0013109879439907447,0.0064995225631692116
XLRE,0.01135771295201018,0.007648297229666875,0.014750139853856807,-0.0018621080771421606,-0.007230296320236953
XLU,0.007210117991922251,0.003435101920937968,0.006941348746061626,0.0055826930896636685,0.011695826916271173
XLV,0.007037547965168064,0.010244236880223401,0.010928556028371995,0.0019131855932562846,0.0053868618661076905
XLY,0.005665380048792034,0.011400406726432073,0.025663126882470067,-0.007082460495992133,0.0037226542258447085
